Name,Team,Year,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Norman Black,DET,1981,1.0,3.3,.300,0.0,0.0,,1.0,3.3,.300,0.7,2.7,.250,0.0,0.7,0.7,0.3,0.0,0.3,0.7,2.7
Ron Boone,UTA,1981,3.1,7.1,.431,0.2,0.8,.282,2.9,6.4,.449,1.4,1.8,.798,0.3,1.3,3.1,0.6,0.2,2.1,2.4,7.8
Winford Boynes,DAL,1981,2.8,7.1,.387,0.0,0.0,,2.8,7.1,.387,1.0,1.3,.818,0.5,1.2,0.8,0.5,0.4,1.6,1.8,6.5
Dudley Bradley,IND,1981,3.2,6.8,.474,0.0,0.2,.125,3.2,6.6,.484,1.5,2.2,.702,0.9,1.5,2.3,2.3,0.5,1.5,2.9,8.0
Mike Bratz,CLE,1981,4.0,10.2,.390,0.7,2.1,.337,3.3,8.1,.404,1.3,1.7,.811,0.8,1.7,5.7,1.7,0.2,2.0,2.4,10.0
Jim Brewer,LAL,1981,1.3,2.5,.513,0.0,0.0,.000,1.3,2.5,.518,0.2,0.5,.375,1.6,2.0,0.7,0.6,0.7,0.6,2.0,2.8
Ron Brewer,TOT,1981,3.7,8.4,.436,0.0,0.1,.143,3.7,8.3,.439,1.2,1.5,.798,0.5,0.7,2.0,0.8,0.5,1.2,1.3,8.6
Junior Bridgeman,MIL,1981,7.0,14.3,.487,0.0,0.3,.143,6.9,14.0,.494,2.8,3.1,.884,1.0,2.7,3.0,1.1,0.4,1.9,2.4,16.8
Allan Bristow,UTA,1981,3.3,7.5,.444,0.1,0.2,.278,3.2,7.2,.449,2.0,2.4,.838,1.3,4.0,4.7,0.8,0.0,2.1,2.3,8.7
Dave Britton,WSB,1981,1.0,1.5,.667,0.0,0.0,,1.0,1.5,.667,0.0,0.0,,0.0,1.0,1.5,0.5,0.0,1.0,1.0,2.0
